date,timestamp,note_count,tags
2015-10-17 19:18:56 GMT,1445109536,0,"Bernie2016,Feel The Bern,Feelthebern,Bernie Sanders,Economics,Politics,Election,Socialism,socialist,Communism,State,Statism,Statist,Free Stuff,Jobs,Free Medicare,Free College"
2015-10-17 19:10:20 GMT,1445109020,1,"my great uncle and bernie sanders,paul fleiss,bernie sanders"
2015-10-17 18:56:48 GMT,1445108208,4,"allowdebate,democratic debate,dnc,hillary clinton,bernie sanders,martin o'malley,jim webb,lincoln chafee,DNC chair Debbie Wasseman-Schultz"
2015-10-17 18:56:42 GMT,1445108202,6,"FeelTheBern,Bernie2016,Feel The Bern,Bernie Sanders,BernieSanders,Bernie Sanders 2016"
2015-10-17 18:54:09 GMT,1445108049,14,"Super Smash Bros,Bernie Sanders,Vladmir Putin,Melee Hell,Dank Meme"
2015-10-17 18:50:05 GMT,1445107805,0,"Education,vote,vote for bernie,bernie sanders,bernie2016,disease,americans,uneducated"
2015-10-17 18:47:02 GMT,1445107622,1,"ooc,mun,bernie sanders"
2015-10-17 18:43:24 GMT,1445107404,0,"bill Maher,Bernie Sanders,interview"
2015-10-17 18:42:20 GMT,1445107340,0,"bernie sanders,old media,new media,cnn"
2015-10-17 18:40:37 GMT,1445107237,0,"anon,hillary clinton,bernie sanders,democratic primary,dems,politics,us politics,2016,mine,written"
2015-10-17 18:40:01 GMT,1445107201,0,"bernie sanders,bernie2016,bernie for president,vote for bernie"
2015-10-17 18:35:54 GMT,1445106954,2,"Bernie Sanders,leftism,democratic socialism,2016"
2015-10-17 18:35:01 GMT,1445106901,0,"jason villalba,bernie sanders,pres election 2016,politics,bernie2016"
2015-10-17 18:34:17 GMT,1445106857,1,"united states politics and government,election 2016,bernie sanders,economics"
2015-10-17 18:33:14 GMT,1445106794,3,"bernie sanders,Back to the Future,donald trump"
2015-10-17 18:30:09 GMT,1445106609,1,"justin trudeau,bernie sanders,feel the bern,americanadian talk"
2015-10-17 18:22:39 GMT,1445106159,0,"bernie sanders,bernie2016,bernie for president,win bernie win,vote for bernie"
2015-10-17 18:22:16 GMT,1445106136,0,"brad neely,bernie sanders,music"
2015-10-17 18:20:36 GMT,1445106036,0,"bernie sander for president,win bernie win,bernie for president,bernie2016,bernie sanders,vote for bernie,feel the bern"
2015-10-17 18:19:33 GMT,1445105973,0,"bernie sander for president,win bernie win,bernie for president,bernie2016,bernie sanders,vote for bernie"
2015-10-17 18:18:04 GMT,1445105884,21,"bernie sanders,bernie2016,feel the bern,rob gets political"
2015-10-17 18:12:08 GMT,1445105528,0,"Bernie sanders,poverty,feel the bern"
2015-10-17 18:11:55 GMT,1445105515,0,"personal,bernie sanders,bernie2016,bernie for president"
2015-10-17 18:11:27 GMT,1445105487,2,"Bernie Sanders,Hillary Clinton,Donald Trump,politics"
2015-10-17 18:08:30 GMT,1445105310,1,"bernie sanders,sanders,sanders 2016,college,socialist,democratic socialism,socialism,economics,education,free,incentives,social security,capitalism,free market"
2015-10-17 18:02:37 GMT,1445104957,8,"DEMDEBATE,Bernie Sanders,Bill Maher,democrat,democratic debate,GOP,Republicans,Socialism,translate"
2015-10-17 18:01:18 GMT,1445104878,0,"feel the bern,bernie sanders,bernie2016,marijuana legalization,bernie for president"
2015-10-17 17:55:51 GMT,1445104551,84,"bernie sanders,liberal,democrat,politics,presidential election,general election,primary election,primaries,primary,vote,voting,voter,voters,election,elections,college,student,students,democratic,debate,debating,discussion,feelthebern,feelthebern.org,studentsforberniesanders.com"
2015-10-17 17:48:59 GMT,1445104139,0,"bernie sanders,hilary clinton,dem debate,democratic debate"
2015-10-17 17:46:58 GMT,1445104018,1,"bernie sanders,back to the future,doc brown,donald trump,politics,meme"
2015-10-17 17:38:18 GMT,1445103498,0,"Bernie Sanders,Hillary Clinton,Donald Trump,Anderson Cooper,Mii,politics,Nintendo,video games"
2015-10-17 17:35:16 GMT,1445103316,0,"portfolio,politiks,politics,bernie sanders,bernie for president"
2015-10-17 17:34:43 GMT,1445103283,0,"SayHerName,bernie sanders,Democrat,Meeting,Mother,Sandra Bland"
2015-10-17 17:31:10 GMT,1445103070,0,"Bernie sanders,feel the bern,bernie for president,bernie2016,vote for bernie"
2015-10-17 17:29:18 GMT,1445102958,0,"gun control,bernie sanders,feelthebern"
2015-10-17 17:28:10 GMT,1445102890,38,"he's jammin,bernie sanders,ellen,ellen degenres,gifs,my gifs,edit,edits,coloring,colorings,my colorings,my edits,politics,democrat,democrats,liberal,liberals"
2015-10-17 17:26:45 GMT,1445102805,5,"feel the bern,bernie sanders,bernie2016"
2015-10-17 17:25:30 GMT,1445102730,1,"Bernie Sanders,for,prime minister,i mean,president"
2015-10-17 17:23:06 GMT,1445102586,0,"feel the bern,bernie sanders,piece of shit,democrat,republicans,kkk,conservative"
2015-10-17 17:20:48 GMT,1445102448,0,"bill maher,bernie sanders,republicans,funny,politics,socialism,liberal,fear mongering,video,real time with bill maher,democrat"
2015-10-17 17:18:22 GMT,1445102302,6,"link,rob gets political,bernie sanders,bernie2016"
2015-10-17 17:16:06 GMT,1445102166,1,"bernie sanders,sandra bland,black lives matter"
2015-10-17 17:08:38 GMT,1445101718,10,"feelthebern,bernie sanders,bernie2016,democratic debate,hillary clinton,presidency 2016,the young turks,youtube"
2015-10-17 17:06:30 GMT,1445101590,3,"politics,Bernie sanders,Hillary Clinton,original"
2015-10-17 17:05:28 GMT,1445101528,2,bernie sanders
2015-10-17 16:51:51 GMT,1445100711,0,"bernie sanders,2016 elections"
2015-10-17 16:47:41 GMT,1445100461,1,"martin shkreli,bernie sanders"
2015-10-17 16:47:36 GMT,1445100456,0,"capitalism,socialism,economy,bernie sanders,feel the bern"
2015-10-17 16:43:47 GMT,1445100227,0,bernie sanders
